id,province,district,property_type,bedrooms,baths,floor_area,nearby_stations,nearby_station_distance,nearby_supermarkets,nearby_shops,facilities,price,station_name,station_distance,total_facilities
8448321,Bangkok,Watthana,Condo,2.0,2.0,66,2,"[['E7 Ekkamai BTS', 270], ['E6 Thong Lo BTS', 800]]",16.0,20,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",8500000,Ekkamai BTS,270,6
10936325,Bangkok,Watthana,Condo,1.0,1.0,49,3,"[['BL22 Sukhumvit MRT', 720], ['BL21 Phetchaburi MRT', 850], ['E4 Asok BTS', 900]]",11.0,20,"['CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",5900000,Sukhumvit MRT,720,4
10927931,Bangkok,Khlong Toei,Condo,1.0,1.0,34,2,"[['E5 Phrom Phong BTS', 650], ['BL23 Queen Sirikit National Convention Centre MRT', 770]]",20.0,20,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6290000,Phrom Phong BTS,650,7
11004792,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,170,0,,2.0,4,"['Covered car park', 'Playground', '24 hours security', 'Swimming pool']",8900000,-,0,4
10757452,Nonthaburi,Mueang Nonthaburi,Townhouse,3.0,2.0,120,1,"[['PP09 Yaek Nonthaburi 1 MRT', 10]]",6.0,15,"['Covered car park', '24 hours security']",2390000,Yaek Nonthaburi 1 MRT,10,2
10879034,Bangkok,Bang Rak,Condo,1.0,1.0,54,3,"[['G2 Charoen Nakhon BTS', 820], ['S6 Saphan Taksin BTS', 860], ['S5 Surasak BTS', 960]]",14.0,20,"['CCTV', 'Fitness corner', '24 hours security', 'Sky Lounge', 'Swimming pool']",8549000,Charoen Nakhon BTS,820,5
10829681,Nonthaburi,Pak Kret,Condo,2.0,1.0,59,0,,2.0,9,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', 'Mini-Mart', 'Sauna', '24 hours security', 'Swimming pool']",1950000,-,0,9
10615656,Bangkok,Sai Mai,Townhouse,2.0,2.0,105,0,,6.0,6,['Covered car park'],1990000,-,0,1
10611729,Bangkok,Watthana,Condo,1.0,1.0,52,0,,17.0,20,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",7200000,-,0,5
10827236,Bangkok,Pathum Wan,Condo,1.0,1.0,61,3,"[['E1 Chit Lom BTS', 490], ['S1 Rachadamri BTS', 570], ['E2 Ploen Chit BTS', 700]]",12.0,19,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', '24 hours security']",3500000,Chit Lom BTS,490,5
10918223,Bangkok,Chatuchak,Condo,2.0,1.0,46,2,"[['N12 Sena Nikhom BTS', 310], ['N13 Kasetsart University BTS', 510]]",7.0,10,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Steam bath']",4300000,Sena Nikhom BTS,310,9
10922676,Samut Prakan,Mueang Samut Prakan,Townhouse,3.0,3.0,108,0,,13.0,6,['24 hours security'],3230000,-,0,1
10892608,Bangkok,Prawet,Townhouse,4.0,2.0,117,0,,1.0,4,[],3600000,-,0,0
10720889,Nonthaburi,Bang Bua Thong,Townhouse,4.0,3.0,110,0,,7.0,7,"['Covered car park', ""Children's Playground"", 'Community Garden', 'Community Plaza', 'Playground', '24 hours security']",2900000,-,0,6
10754391,Bangkok,Chatuchak,Condo,1.0,1.0,40,3,"[['BL15 Lat Phrao MRT', 780], ['N9 Ha Yaek Lat Phrao BTS', 920], ['BL14 Phahon Yothin MRT', 960]]",12.0,20,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Library', 'Pavillion', '24 hours security', 'Sky Lounge', 'Swimming pool']",4390000,Lat Phrao MRT,780,10
10561994,Bangkok,Huai Khwang,Condo,2.0,1.0,60,1,"[['BL18 Huai Khwang MRT', 340]]",20.0,20,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3650000,Huai Khwang MRT,340,5
7616895,Bangkok,Phra Khanong,Condo,1.0,1.0,35,1,"[['E12 Udom Suk BTS', 240]]",11.0,14,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Swimming pool', 'Wading pool']",5400000,Udom Suk BTS,240,13
10906912,Bangkok,Suan Luang,Condo,1.0,1.0,23,1,"[['A5 Ramkhamhaeng Airport Link', 390]]",9.0,8,"['BBQ pits', 'Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Lift lobby', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",1780000,Ramkhamhaeng,390,14
