district,zone
Phra Nakhon,inner zone
Pom Prap Sattru Phai,inner zone
Samphanthawong,inner zone
Pathum Wan,inner zone
Bang Rak,inner zone
Yan Nawa,inner zone
Sathon,inner zone
Bang Kho Laem,inner zone
Dusit,inner zone
Bang Sue,inner zone
Phaya Thai,inner zone
Ratchathewi,inner zone
Huai Khwang,inner zone
Khlong Toei,inner zone
Chatuchak,inner zone
Thon Buri,inner zone
Khlong San,inner zone
Bangkok Noi,inner zone
Bangkok Yai,inner zone
Din Daeng,inner zone
Watthana,inner zone
Phra Khanong,central zone
Prawet,central zone
Bang Khen,central zone
Bang Kapi,central zone
Lat Phrao,central zone
Bueng Kum,central zone
Bang Phlat,central zone
Phasi Charoen,central zone
Rat Burana,central zone
Chom Thong,central zone
Suan Luang,central zone
Bang Na,central zone
Thung Khru,central zone
Bang Khae,central zone
Wang Thonglang,central zone
Khan Na Yao,central zone
Saphan Sung,central zone
Sai Mai,central zone
Min Buri,outer zone
Don Mueang,outer zone
Nong Chok,outer zone
Lat Krabang,outer zone
Taling Chan,outer zone
Nong Khaem,outer zone
Bang Khun Thian,outer zone
Lak Si,outer zone
Khlong Sam Wa,outer zone
Bang Bon,outer zone
Thawi Watthana,outer zone
