,price,predict_price,residuals
0,8500000,8240866.092595345,259133.90740465466
1,5900000,7705144.778323873,-1805144.778323873
2,6290000,6200170.883610829,89829.11638917122
3,8900000,6083984.721157792,2816015.278842208
4,2390000,3652727.2125854967,-1262727.2125854967
5,8549000,8637394.001978215,-88394.00197821483
6,1950000,3816648.777679463,-1866648.777679463
7,1990000,2203845.574317893,-213845.574317893
8,7200000,5558168.647726085,1641831.352273915
9,3500000,7969171.866236958,-4469171.866236958
10,4300000,5014717.4278347455,-714717.4278347455
11,3230000,3383029.2893893085,-153029.28938930854
12,3600000,3585456.659674936,14543.340325064026
13,2900000,3023609.431579385,-123609.43157938495
14,4390000,4838994.616505786,-448994.61650578585
15,3650000,4996674.399427444,-1346674.3994274437
16,5400000,4698422.02600911,701577.9739908902
17,1780000,2659825.031669559,-879825.031669559
18,6300000,5386501.257533327,913498.7424666733
19,5950000,5918362.4497697195,31637.550230280496
20,3890000,5038148.898862869,-1148148.8988628685
21,1590000,1903974.637135516,-313974.6371355159
22,2100000,1812944.4071974093,287055.5928025907
23,2700000,1839537.0696275672,860462.9303724328
24,1860000,1042275.8780452902,817724.1219547098
25,7200000,7826191.28441197,-626191.2844119696
26,2790000,3840004.3038359545,-1050004.3038359545
27,8580000,5974880.395439954,2605119.6045600465
28,6200000,5833931.051120111,366068.9488798892
29,2500000,2200313.930296625,299686.069703375
30,5700000,5431432.639297291,268567.3607027093
31,7890000,6426968.374121557,1463031.625878443
32,3708000,3547825.5472117597,160174.45278824028
33,2100000,2572664.7823579507,-472664.7823579507
34,4590000,3712731.0125005636,877268.9874994364
35,990000,801435.97018384,188564.02981615998
36,1490000,1696032.6321314974,-206032.63213149738
37,2200000,3660664.4317566827,-1460664.4317566827
38,1100999,946379.8114524055,154619.18854759447
39,8800000,6082760.012166156,2717239.9878338436
40,8700000,7209199.016565918,1490800.983434082
41,9070000,7779403.676532532,1290596.323467468
42,5500000,4595508.928357392,904491.0716426084
43,2800000,2446421.2616121788,353578.73838782124
44,3500000,3068104.4940044023,431895.5059955977
45,9478095,8058919.507384515,1419175.4926154846
46,6950000,3939318.728099117,3010681.271900883
47,2950000,4046204.6354434974,-1096204.6354434974
48,2500000,1351393.2737147096,1148606.7262852904
49,5400000,4913168.016001381,486831.983998619
50,2300000,2355172.8942788793,-55172.89427887928
51,1890000,1549973.7205886682,340026.27941133175
52,8700000,7489077.064261227,1210922.935738773
53,3800000,3824565.966634012,-24565.966634011827
54,3200000,2375095.1191117167,824904.8808882833
55,4000000,3006613.552494293,993386.4475057069
56,1800000,1409979.3881847803,390020.61181521975
57,4150000,3988413.522543152,161586.47745684814
58,1850000,2014534.5949238809,-164534.59492388088
59,1890000,2567024.5963153522,-677024.5963153522
60,6490000,5884624.106422785,605375.8935772153
61,7290000,8040248.847960885,-750248.8479608847
62,1390000,1507805.8345564697,-117805.8345564697
63,2290000,1633905.0065865759,656094.9934134241
64,2890000,3028071.1989677716,-138071.1989677716
65,5600000,6204651.410927384,-604651.4109273842
66,2880000,3656762.1758303307,-776762.1758303307
67,6000000,5310307.203234167,689692.7967658332
68,2060000,3466231.8295422634,-1406231.8295422634
69,6450000,6198851.40501631,251148.59498369042
70,1550000,1179637.5934042,370362.4065958001
71,3990000,3844116.495783196,145883.50421680417
72,2490000,2158822.423234268,331177.5767657319
73,5200000,5662883.112483132,-462883.1124831317
74,3700000,5964210.582666351,-2264210.5826663515
75,6200000,6952760.460040248,-752760.460040248
76,1500000,956172.4231546549,543827.5768453451
77,1500000,1474093.5380172404,25906.461982759647
78,3990000,4991367.824149697,-1001367.8241496971
79,2490000,2338028.646030712,151971.35396928806
80,2490000,3053900.8533499055,-563900.8533499055
81,6400000,5877378.530609778,522621.4693902219
82,2150000,2315687.7911913414,-165687.79119134136
83,1950000,1315306.0252766265,634693.9747233735
84,8100000,7500528.696038627,599471.3039613729
85,7500000,6722245.294244441,777754.7057555588
86,2850000,1991973.097298231,858026.902701769
87,5500000,6208825.722750857,-708825.7227508565
88,2350000,2431422.1431076396,-81422.14310763963
89,1800000,2023059.7320024585,-223059.73200245854
90,6940000,7315652.231136982,-375652.23113698233
91,2000000,3126065.321434552,-1126065.3214345518
92,9900000,6958450.46966841,2941549.53033159
93,5360000,6978433.07077442,-1618433.0707744202
94,1290000,1591989.9694382343,-301989.96943823434
95,1700000,2007111.234948772,-307111.234948772
96,1290000,710421.4074083846,579578.5925916154
97,1060000,2647351.2220084323,-1587351.2220084323
98,1690000,1540198.2814588817,149801.71854111832
99,7000000,6047956.934965498,952043.0650345022
100,6400000,5715457.122139881,684542.8778601186
101,2600000,2418704.801905318,181295.19809468184
102,1190000,2461094.541893484,-1271094.541893484
103,1390000,1737975.506864625,-347975.50686462503
104,6900000,4913888.495773429,1986111.504226571
105,4400000,4192189.9008562844,207810.09914371558
106,1900000,2715369.4094857853,-815369.4094857853
107,3100000,4293793.783114288,-1193793.783114288
108,2050000,1821872.6978859827,228127.3021140173
109,6390000,6166033.875257972,223966.1247420283
110,3950000,3115250.6459391527,834749.3540608473
111,2000000,3109888.8079210827,-1109888.8079210827
112,2600000,1998032.4876010828,601967.5123989172
113,3900000,4575932.703191004,-675932.7031910038
114,2500000,2733358.185828668,-233358.18582866807
115,1500000,1512432.416393389,-12432.416393388994
116,2000000,2067971.821276091,-67971.82127609104
117,2900000,3917518.415796698,-1017518.4157966981
118,1990000,3019099.4832187295,-1029099.4832187295
119,6600000,6418896.5343870325,181103.4656129675
120,5900000,4502666.826679825,1397333.1733201751
121,7400000,7052814.675773463,347185.3242265368
122,4700000,4562906.445334586,137093.55466541369
123,3790000,5057085.345863055,-1267085.3458630554
124,2690000,3012946.1400245912,-322946.14002459124
