,price,predict_price,residuals
0,8500000,8240822.9961272,259177.0038727997
1,5900000,7705153.834913398,-1805153.8349133981
2,6290000,6200172.885526781,89827.11447321903
3,8900000,6083993.842911365,2816006.1570886346
4,2390000,3652732.601985072,-1262732.6019850718
5,8549000,8637401.0781072,-88401.07810720056
6,1950000,3816646.0584745565,-1866646.0584745565
7,1990000,2203850.703686797,-213850.70368679706
8,7200000,5558171.810721297,1641828.1892787032
9,3500000,7969178.13760692,-4469178.13760692
10,4300000,5014714.96158099,-714714.9615809899
11,3230000,3383033.069313162,-153033.069313162
12,3600000,3585466.2455189237,14533.754481076263
13,2900000,3023603.467261811,-123603.46726181079
14,4390000,4838991.242868139,-448991.2428681394
15,3650000,4996674.126603334,-1346674.1266033342
16,5400000,4698364.019994186,701635.9800058138
17,1780000,2659811.89374673,-879811.8937467299
18,6300000,5386496.670508582,913503.3294914179
19,5950000,5918363.1465085475,31636.853491452523
20,3890000,5038138.447594982,-1148138.4475949816
21,1590000,1903953.917175551,-313953.91717555095
22,2100000,1812943.1824710933,287056.81752890674
23,2700000,1839542.660058319,860457.3399416809
24,1860000,1042273.45358941,817726.54641059
25,7200000,7826203.578833933,-626203.578833933
26,2790000,3840005.0854552537,-1050005.0854552537
27,8580000,5974891.840026453,2605108.159973547
28,6200000,5833922.589114266,366077.41088573355
29,2500000,2200312.323130074,299687.67686992604
30,5700000,5431429.716814277,268570.28318572324
31,7890000,6426979.635156116,1463020.3648438836
32,3708000,3547836.7882331572,160163.21176684275
33,2100000,2572646.857660842,-472646.8576608421
34,4590000,3712762.1047821688,877237.8952178312
35,990000,801431.4343551388,188568.5656448612
36,1490000,1696037.7700107382,-206037.77001073817
37,2200000,3660661.181964605,-1460661.181964605
38,1100999,946380.3860579254,154618.6139420746
39,8800000,6082756.401717265,2717243.598282735
40,8700000,7209245.066722662,1490754.9332773378
41,9070000,7779327.033882747,1290672.9661172526
42,5500000,4595493.05156208,904506.9484379198
43,2800000,2446419.0573141715,353580.94268582854
44,3500000,3068100.0205140077,431899.97948599234
45,9478095,8058875.956292703,1419219.0437072972
46,6950000,3939318.865930292,3010681.134069708
47,2950000,4046199.95136326,-1096199.95136326
48,2500000,1351388.720372165,1148611.279627835
49,5400000,4913136.330348811,486863.6696511889
50,2300000,2355174.4031455293,-55174.40314552933
51,1890000,1549979.1501977965,340020.8498022035
52,8700000,7489024.752200461,1210975.247799539
53,3800000,3824545.548529762,-24545.548529761843
54,3200000,2375101.4008601727,824898.5991398273
55,4000000,3006622.752640403,993377.2473595971
56,1800000,1409934.9034498623,390065.09655013774
57,4150000,3988407.34429201,161592.65570798982
58,1850000,2014544.4391412754,-164544.43914127536
59,1890000,2567029.658168028,-677029.6581680281
60,6490000,5884635.306813027,605364.6931869732
61,7290000,8040254.3925685575,-750254.3925685575
62,1390000,1507811.2730197133,-117811.27301971335
63,2290000,1633905.935208558,656094.0647914419
64,2890000,3028081.8876085198,-138081.88760851976
65,5600000,6204657.258772005,-604657.2587720053
66,2880000,3656755.441044988,-776755.4410449881
67,6000000,5310315.073764375,689684.9262356246
68,2060000,3466238.120523194,-1406238.1205231939
69,6450000,6198842.29518119,251157.70481881034
70,1550000,1179627.06252611,370372.9374738899
71,3990000,3844108.78140526,145891.21859474014
72,2490000,2158816.030130365,331183.96986963507
73,5200000,5662838.74554814,-462838.74554814026
74,3700000,5964217.959405271,-2264217.9594052713
75,6200000,6952777.523604781,-752777.5236047814
76,1500000,956176.3237335975,543823.6762664025
77,1500000,1474093.6472935677,25906.352706432343
78,3990000,4991378.913135758,-1001378.9131357577
79,2490000,2338020.4769185046,151979.52308149543
80,2490000,3053905.093855149,-563905.0938551491
81,6400000,5877380.710210563,522619.2897894373
82,2150000,2315683.8173425253,-165683.81734252535
83,1950000,1315310.9340745104,634689.0659254896
84,8100000,7500537.841868018,599462.1581319822
85,7500000,6722248.830224493,777751.1697755074
86,2850000,1991975.6245191572,858024.3754808428
87,5500000,6208835.271381847,-708835.2713818466
88,2350000,2431422.555075151,-81422.55507515091
89,1800000,2023022.9521246925,-223022.9521246925
90,6940000,7315651.2740646,-375651.27406459954
91,2000000,3126065.0029090196,-1126065.0029090196
92,9900000,6958442.346702627,2941557.653297373
93,5360000,6978426.140818396,-1618426.1408183957
94,1290000,1591988.8540995866,-301988.8540995866
95,1700000,2007113.8985637547,-307113.89856375474
96,1290000,710432.4624641193,579567.5375358807
97,1060000,2647353.8635046864,-1587353.8635046864
98,1690000,1540206.6528405473,149793.34715945274
99,7000000,6047954.308501619,952045.6914983811
100,6400000,5715448.1428666,684551.8571333997
101,2600000,2418715.962405962,181284.03759403806
102,1190000,2461105.6735752793,-1271105.6735752793
103,1390000,1737937.9763076557,-347937.9763076557
104,6900000,4913849.408468794,1986150.591531206
105,4400000,4192175.1759188985,207824.82408110145
106,1900000,2715372.7585720522,-815372.7585720522
107,3100000,4293792.531564136,-1193792.531564136
108,2050000,1821869.8410276705,228130.15897232946
109,6390000,6166031.205255228,223968.7947447719
110,3950000,3115222.6479886994,834777.3520113006
111,2000000,3109883.4189765574,-1109883.4189765574
112,2600000,1998031.210156219,601968.7898437809
113,3900000,4575921.660552079,-675921.6605520789
114,2500000,2733357.7632825607,-233357.76328256074
115,1500000,1512427.477540039,-12427.477540038992
116,2000000,2067959.1512332475,-67959.15123324748
117,2900000,3917528.4704461684,-1017528.4704461684
118,1990000,3019093.0809785537,-1029093.0809785537
119,6600000,6418888.195477509,181111.80452249106
120,5900000,4502672.123618179,1397327.876381821
121,7400000,7052791.28817472,347208.71182528045
122,4700000,4562910.27621697,137089.72378303017
123,3790000,5057074.036000145,-1267074.0360001447
124,2690000,3012934.4093159474,-322934.40931594744
125,9800000,9033205.215466294,766794.7845337056
